Original Sentence,Visual Description,Description
Hacé_de_mesita_por_un_turno,"A playful scene where one person is on all fours, acting as a temporary 'table' for friends to place their drinks on during a game night. The room is filled with games and snacks, emphasizing a fun and casual atmosphere.",
Mostrá_tu_elasticidad,"An individual demonstrating their flexibility by performing an impressive yoga pose in a peaceful park. The focus is on their form and the serene environment, highlighting the beauty of physical capability and nature.",
Recibí_cosquillas,"A person lying on the grass, laughing uncontrollably as friends tickle them. The setting is a sunny park, capturing a moment of joy and lightheartedness among friends.",
Volvé_sexual_algo,"A creative interpretation of a mundane activity, such as a person seductively eating a piece of fruit in a dimly lit room, transforming an ordinary act into an alluring performance, emphasizing the power of context and presentation.","Elegí algo no sexual (como peinarse, saludar con la mano, comer algo o lo que sea...) y volvelo sexual"
Worship_de_tetas,"A respectful and aesthetic appreciation of the female form, portrayed through an artistic representation of a woman draped in elegant fabric, standing confidently. The focus is on the beauty and strength of her pose, in a dignified and tasteful manner.",
Tenés_dos_turnos,"A game night scene where one person excitedly takes their second turn, rolling dice or drawing cards, surrounded by friends. The atmosphere is competitive but friendly, with snacks and drinks on the table.",
Que_te_hagan_upa_entre_todes,"A joyful moment where a person is being playfully lifted up by a group of friends in a celebration, perhaps at a concert or festival. The scene is vibrant and full of energy, capturing the camaraderie and excitement of the moment.",
cuántos_dedos_entran_en_la_boca,"A curious and somewhat comedic scene where a person is attempting to see how many of their own fingers can fit in their mouth, observed by friends. The setting is casual, perhaps during a game or challenge, with expressions ranging from amusement to disbelief.",Tuyos o de otres
adivina_quién_te_besó,"A closed eyes person in the center of a circle formed by friends, receiving a kiss on the cheek from an old friend. The atmosphere is filled with laughter.","Te besa alguien, tenes que adiviar quien (no vale tocar)"
Shot_de_adrenalina,"An adrenaline-filled moment captured just as one person falls back into the arms of another, trust fully placed in the catcher.","Te dejás caer para atrás, alguien designado te ataja. La persona que te ataja te chapa, te da una bofetada o las dos."
Finjan un orgasmo,,Actuen entre dos un climax sincronizado
Teléfono descompuesto de besos,,En ronda vayan besando al de al lado y pasandolo imitando el estilo
Twerkeá,,
Beso de a 3,,
Chupá dedos,,Tuyos o de otres
Mandá una nude,,
Mordiditas,,
Elegí 2 Que Se Besen,,
Sacate Una Prenda,,
Recibí mimos,,
Ahorcadura,,Alguien te ahorca o vos ahorcas a alguien
